Medida,Tiempo
1,2.23
2,1.76
3,2.06
4,1.91
5,1.98
6,2.46
7,2.03
8,1.91
9,2.03
10,2.11
11,1.88
12,2.2
13,2.25
14,2.23
15,2.08
16,1.93
17,1.71
18,1.65
19,1.83
20,1.82
21,1.97
22,1.82
23,1.81
24,2
25,1.99
26,1.96
27,2.16
28,1.8
29,2.03
30,2.15
31,2.06
32,2.05
33,2.1
34,1.79
35,2.01
36,1.56
37,1.96
38,1.9
39,2.01
40,1.78
41,1.93
42,2.08
43,2.01
44,1.9
45,2.05
46,1.88
47,1.71
48,2.08
49,2.03
50,2
51,2.1
52,1.46
53,2.03
54,2.11
55,1.92
56,2.06
57,2.08
58,1.91
59,2.03
60,2
61,1.85
62,2
63,2.1
64,1.88
65,2.08
66,2.25
67,1.9
68,2.1
69,1.86
70,1.96
71,1.87
72,1.8
73,1.43
74,1.9
75,1.92
76,1.71
77,1.95
78,1.9
79,1.97
80,1.73
81,1.68
82,1.71
83,2.02
84,2.13
85,1.78
86,1.95
87,1.98
88,1.88
89,1.95
90,1.85
91,1.76
92,1.58
93,2
94,2.03
95,1.93
96,1.87
97,1.86
98,1.78
99,1.85
100,2.08
