Medida,Tiempo
1,1.87
2,1.66
3,1.85
4,1.79
5,1.62
6,1.92
7,1.91
8,1.78
9,1.92
10,1.99
11,1.77
12,1.91
13,2.11
14,1.67
15,2.08
16,1.93
17,1.84
18,1.78
19,1.73
20,1.86
21,1.77
22,1.94
23,1.77
24,2.01
25,1.93
26,2.02
27,1.66
28,1.74
29,1.91
30,1.95
31,1.94
32,2.21
33,1.92
34,1.96
35,1.97
36,1.84
37,1.86
38,1.47
39,1.83
40,1.85
41,1.82
42,1.97
43,1.86
44,1.86
45,1.79
46,1.82
47,1.87
48,1.89
49,1.72
50,1.99
51,1.76
52,1.88
53,1.86
54,1.92
55,1.74
56,1.91
57,1.83
58,1.86
59,1.79
60,1.84
61,1.81
62,1.62
63,1.84
64,1.86
65,1.66
66,1.84
67,2.06
68,1.98
69,1.69
70,1.79
71,2.09
72,1.78
73,1.91
74,2.14
75,2.02
76,1.78
77,1.76
78,1.66
79,1.83
80,1.8
81,1.84
82,1.79
83,1.73
84,1.86
85,1.74
86,1.93
87,1.96
88,1.94
89,1.86
90,1.69
91,2.08
92,1.77
93,1.73
94,2.05
95,1.91
96,1.69
97,1.71
98,1.61
99,1.77
100,2.18
